	опыт работы	возраст	образование	язык	желаемая з/п	Последнее место работы	пол_Мужчина	волонтерство	полная	проектная	стажировка	частичная	регион_Москва	регион_Санкт-Петербург
219	24.0		1	0	100793.0	1.0	0	0	1	0	0	0	0	0
220	14.0	36.0	1	0	137445000.0	1.0	1	0	1	1	0	1	0	0
221	16.0	38.0	1	1	30000.0	1.0	1	0	0	0	0	1	1	0
222	15.0	36.0	1	0	150000.0	1.0	1	0	1	0	0	0	1	0
223	20.0	45.0	1	0	50000.0	1.0	1	0	1	0	0	1	0	0
224	7.0	32.0	1	0	50000.0	1.0	1	0	1	0	0	0	0	0
225	4.0	40.0	0	1	60000.0	1.0	1	0	1	1	1	1	0	0
226	5.0	27.0	1	0	70000.0	1.0	1	0	1	0	0	0	0	0
227	15.0	37.0	1	0	275000.0	1.0	1	0	1	0	0	1	0	0
228	4.0	22.0	0	0	140000.0	1.0	1	0	1	1	1	1	0	0
229	9.0	37.0	1	0	80000.0	1.0	1	0	1	1	0	1	0	0
230	5.0	36.0	0	1	80000.0	0.0	1	0	1	0	0	0	0	0
231	9.0	33.0	1	0	15000.0	1.0	1	0	1	0	1	0	0	0
232	17.0	46.0	0	0	137445.0	1.0	1	0	0	1	0	1	1	0
233	15.0	36.0	1	0	150000.0	1.0	1	0	1	0	0	0	0	1
234	16.0	39.0	1	0	100000.0	1.0	1	0	0	1	0	1	0	0
235	19.0	44.0	1	1	55000.0	1.0	1	0	1	0	0	0	0	0
236	24.0	47.0	1	1	170000.0	1.0	1	0	1	0	0	0	1	0
237	9.0	33.0	1	0	150000.0	1.0	1	0	1	0	0	1	0	0
238	43.0	65.0	1	1	100000.0	1.0	1	0	1	1	0	1	0	0
239	15.0	36.0	1	0	20000.0	1.0	1	0	1	0	0	0	0	0
240	3.0	31.0	0	0	230000.0	1.0	1	0	1	0	0	0	1	0
241	22.0	60.0	1	0	45000.0	1.0	1	0	1	0	0	0	0	0
242	17.0	40.0	0	0	50000.0	1.0	1	0	1	0	0	0	1	0
243	9.0	29.0	1	1	140000.0	1.0	1	0	1	1	0	1	1	0
244	3.0	39.0	1	0	25000.0	0.0	1	0	1	0	0	0	0	1
245	3.0	46.0	1	1	40000.0	0.0	1	0	1	0	0	0	0	0
246	16.0	54.0	0	0	90000.0	1.0	1	0	1	1	0	1	0	0
247	4.0	30.0	0	0	140000.0	1.0	1	0	1	0	0	0	0	0
248	13.0	37.0	1	0	25000.0	1.0	1	0	1	0	0	0	0	0
249	1.0	22.0	0	0	50000.0	1.0	1	0	1	0	0	1	0	0
250	2.0	27.0	1	0	50000.0	1.0	1	0	0	1	0	1	0	0
251	17.0	48.0	1	1	60000.0	1.0	1	0	1	0	0	1	0	0
252	19.0	42.0	1	0	100000.0	1.0	1	0	0	1	0	1	1	0
253	14.0	34.0	0	1	40000.0	1.0	1	0	1	0	0	0	0	0
254		45.0	0	0	60000.0		1	0	1	0	0	0	1	0
255	12.0	44.0	1	1	20000.0	1.0	1	0	1	1	1	1	0	0
256	2.0	34.0	0	0	99999.0	0.0	1	0	0	1	0	0	1	0
257	1.0	30.0	0	0	90000.0	0.0	1	0	1	1	1	1	1	0
258	4.0	30.0	0	0	40000.0	0.0	1	0	1	1	0	0	1	0
259	20.0	38.0	1	0	91630.0	1.0	1	1	0	1	1	0	0	0
260	23.0	40.0	1	1	400000.0	1.0	1	0	1	0	0	0	0	0
261	8.0	43.0	1	0	30000.0	1.0	1	0	1	0	0	0	0	0
262	46.0	71.0	1	0	45000.0	1.0	1	0	1	0	0	1	0	0
263	4.0	35.0	1	1	50000.0	0.0	1	0	1	0	0	0	1	0
264	10.0	35.0	0	1	100000.0	1.0	1	0	1	0	0	0	0	0
265	3.0	27.0	0	0	140000.0	1.0	1	0	1	0	1	1	0	0
266	3.0	28.0	1	0	250000.0	1.0	1	0	1	0	0	0	0	1
267	18.0	71.0	1	1	65000.0	1.0	1	0	1	0	0	0	1	0
268	26.0	49.0	1	1	195000.0	1.0	1	0	1	1	0	1	1	0
269	12.0	38.0	1	0	35000.0	1.0	0	0	1	1	1	1	0	0
270	7.0	29.0	0	0	25000.0	1.0	1	0	1	1	1	1	0	0
271	9.0	30.0	0	0	350000.0	1.0	1	0	1	1	0	1	1	0
272	24.0	51.0	1	0	183260.0	1.0	1	0	1	0	0	0	0	0
273	1.0	28.0	0	0	80000.0	0.0	1	0	1	0	0	0	1	0
274	13.0	39.0	0	1	80000.0	1.0	1	0	0	1	0	1	1	0
275	14.0	37.0	1	0	60000.0	1.0	1	0	1	0	0	0	1	0
276	24.0	52.0	1	0	80000.0	1.0	1	0	1	0	0	0	0	0
277	20.0	44.0	0	0	20000.0	1.0	1	0	1	0	0	0	0	0
278	7.0	29.0	0	0	300000.0	1.0	1	0	1	1	0	1	0	0
279	14.0	41.0	1	0	40000.0	1.0	1	0	0	1	0	1	0	0
280	9.0	30.0	0	0	40000.0	1.0	1	0	1	1	0	1	1	0
281	8.0	31.0	0	0	35000.0	0.0	1	0	1	0	0	0	0	0
282	4.0	27.0	1	0	70000.0	1.0	0	0	1	0	0	0	1	0
283	4.0	38.0	1	0	15000.0	0.0	1	0	1	0	0	0	0	0
284	2.0	34.0	1	0	40000.0	0.0	1	0	1	0	0	0	0	0
285	12.0	33.0	0	0	200000.0	1.0	1	0	1	0	0	0	1	0
286	1.0	26.0	0	1	20000.0	0.0	1	0	0	1	1	1	0	0
287	1.0	29.0	1	0	150000.0	1.0	1	0	1	0	0	0	1	0
288	9.0	31.0	1	0	91630.0	0.0	1	0	1	0	0	1	0	1
289	11.0	33.0	1	1	20000.0	1.0	1	0	1	0	0	0	0	0
290	3.0	42.0	1	1	80000.0	0.0	1	0	1	0	0	0	1	0
291	11.0	40.0	1	1	150000.0	1.0	1	0	1	0	0	0	0	0
292	12.0	30.0	0	0	160000.0	1.0	1	0	1	1	1	1	1	0
293	6.0	27.0	0	0	100000.0	1.0	0	0	1	0	0	1	0	0
294	1.0	29.0	0	0	20000.0	0.0	1	0	1	0	0	0	0	0
295	12.0	47.0	1	1	50000.0	0.0	1	0	1	0	0	1	1	0
296	11.0	35.0	0	1	120000.0	1.0	1	0	1	1	1	1	0	0
297	6.0	35.0	0	0	100000.0	1.0	1	0	1	1	1	0	0	0
298	2.0	23.0	0	0	130000.0	0.0	1	0	1	1	0	0	0	0
299	4.0	34.0	0	0	40000.0	0.0	1	0	1	0	0	0	0	0
300	2.0	24.0	1	0	91630.0	0.0	0	0	1	0	0	0	0	0
301	32.0	56.0	1	0	150000.0	1.0	1	0	1	1	1	0	0	0
302	8.0	28.0	1	0	70000.0	1.0	1	0	1	1	0	1	0	1
303	7.0	27.0	0	0	55000.0	1.0	1	0	1	0	0	1	0	0
